group,id,course,module,grade
1,49,Mechanical Engineering and Vehicle Repair,1,9
1,49,Mechanical Engineering and Vehicle Repair,1,7
1,49,Mechanical Engineering and Vehicle Repair,1,14
1,49,Mechanical Engineering and Vehicle Repair,1,4
1,49,Mechanical Engineering and Vehicle Repair,1,5
1,49,Mechanical Engineering and Vehicle Repair,1,5
1,49,Moral Philosophy and Ethical Decision-Making,1,12
1,49,Moral Philosophy and Ethical Decision-Making,1,15
1,49,Moral Philosophy and Ethical Decision-Making,1,15
1,49,Moral Philosophy and Ethical Decision-Making,1,17
1,49,Post-Apocalyptic History and Archaeology,2,11.6
1,49,Post-Apocalyptic History and Archaeology,2,7.6
1,49,Post-Apocalyptic History and Archaeology,2,11.9
1,49,Post-Apocalyptic History and Archaeology,2,10.6
1,49,Radiation Ecology and Environmental Science,1,11.8
1,49,Radiation Ecology and Environmental Science,1,5
1,49,Radiation Ecology and Environmental Science,1,4.4
1,49,Radiation Ecology and Environmental Science,1,4
1,49,Renewable Energy and Sustainable Living,1,5.5
1,49,Renewable Energy and Sustainable Living,1,12
1,49,Renewable Energy and Sustainable Living,1,3.5
1,49,Renewable Energy and Sustainable Living,1,7.5
1,49,Renewable Energy and Sustainable Living,1,15
1,49,Renewable Energy and Sustainable Living,1,11
1,49,Renewable Energy and Sustainable Living,1,2.5
1,49,Scavenging and Resource Management,2,10.5
1,49,Scavenging and Resource Management,2,14.25
1,49,Scavenging and Resource Management,2,7.75
1,49,Scavenging and Resource Management,2,10.5
1,49,Scavenging and Resource Management,2,12
1,49,Survival Skills and Wilderness Medicine,2,12.5
1,49,Survival Skills and Wilderness Medicine,2,11.5
1,49,Survival Skills and Wilderness Medicine,2,13.5
1,49,Survival Skills and Wilderness Medicine,2,10.75
1,49,Survival Skills and Wilderness Medicine,2,10.5
1,58,Art and Expression in a Post-Apocalyptic World,3,15.1
1,58,Art and Expression in a Post-Apocalyptic World,3,13.7
1,58,Art and Expression in a Post-Apocalyptic World,3,8.3
1,58,Art and Expression in a Post-Apocalyptic World,3,5.7
1,58,Art and Expression in a Post-Apocalyptic World,3,9.2
1,58,Art and Expression in a Post-Apocalyptic World,3,9.6
1,58,Art and Expression in a Post-Apocalyptic World,3,10.4
1,58,Combat Tactics and Self-Defense,2,13
1,58,Combat Tactics and Self-Defense,2,8
1,58,Combat Tactics and Self-Defense,2,3
1,58,Combat Tactics and Self-Defense,2,8
1,58,Community Building and Social Organization,1,10
1,58,Community Building and Social Organization,1,8.5
1,58,Community Building and Social Organization,1,10.5
1,58,Community Building and Social Organization,1,9
1,58,Community Building and Social Organization,1,8
1,58,Community Building and Social Organization,1,8.5
1,58,Community Building and Social Organization,1,8.5
1,58,Mechanical Engineering and Vehicle Repair,1,12
1,58,Mechanical Engineering and Vehicle Repair,1,12
1,58,Mechanical Engineering and Vehicle Repair,1,5
1,58,Mechanical Engineering and Vehicle Repair,1,9
1,58,Mechanical Engineering and Vehicle Repair,1,3
1,58,Moral Philosophy and Ethical Decision-Making,1,13
1,58,Moral Philosophy and Ethical Decision-Making,1,16
1,58,Moral Philosophy and Ethical Decision-Making,1,13
1,58,Post-Apocalyptic History and Archaeology,2,7.4
1,58,Post-Apocalyptic History and Archaeology,2,8.8
1,58,Post-Apocalyptic History and Archaeology,2,10
1,58,Post-Apocalyptic History and Archaeology,2,10.8
1,58,Radiation Ecology and Environmental Science,1,8.3
1,58,Radiation Ecology and Environmental Science,1,7.3
1,58,Radiation Ecology and Environmental Science,1,7.3
1,58,Radiation Ecology and Environmental Science,1,7.3
1,58,Renewable Energy and Sustainable Living,1,8.5
1,58,Renewable Energy and Sustainable Living,1,5
1,58,Renewable Energy and Sustainable Living,1,7
1,58,Renewable Energy and Sustainable Living,1,8.5
1,58,Renewable Energy and Sustainable Living,1,7.5
1,58,Renewable Energy and Sustainable Living,1,3.5
1,58,Renewable Energy and Sustainable Living,1,7.5
1,58,Scavenging and Resource Management,2,5.25
1,58,Scavenging and Resource Management,2,7.75
1,58,Scavenging and Resource Management,2,13.25
1,58,Survival Skills and Wilderness Medicine,2,10.25
1,58,Survival Skills and Wilderness Medicine,2,9
1,58,Survival Skills and Wilderness Medicine,2,10
1,58,Survival Skills and Wilderness Medicine,2,8.75
1,58,Survival Skills and Wilderness Medicine,2,11.5
1,78,Art and Expression in a Post-Apocalyptic World,3,6.8
1,78,Art and Expression in a Post-Apocalyptic World,3,8.9
1,78,Art and Expression in a Post-Apocalyptic World,3,6.9
1,78,Art and Expression in a Post-Apocalyptic World,3,6.8
1,78,Art and Expression in a Post-Apocalyptic World,3,8.6
1,78,Art and Expression in a Post-Apocalyptic World,3,4.8
1,78,Art and Expression in a Post-Apocalyptic World,3,8.4
1,78,Combat Tactics and Self-Defense,2,4
1,78,Combat Tactics and Self-Defense,2,8
1,78,Combat Tactics and Self-Defense,2,7
1,78,Combat Tactics and Self-Defense,2,8
1,78,Community Building and Social Organization,1,8.5
1,78,Community Building and Social Organization,1,9.5
1,78,Community Building and Social Organization,1,6.5
1,78,Community Building and Social Organization,1,6.5
1,78,Community Building and Social Organization,1,8.5
1,78,Community Building and Social Organization,1,6
1,78,Community Building and Social Organization,1,9.5
1,78,Mechanical Engineering and Vehicle Repair,1,4
1,78,Mechanical Engineering and Vehicle Repair,1,9
1,78,Mechanical Engineering and Vehicle Repair,1,8
1,78,Mechanical Engineering and Vehicle Repair,1,3
1,78,Mechanical Engineering and Vehicle Repair,1,7
1,78,Mechanical Engineering and Vehicle Repair,1,6
1,78,Moral Philosophy and Ethical Decision-Making,1,10
1,78,Moral Philosophy and Ethical Decision-Making,1,12
1,78,Moral Philosophy and Ethical Decision-Making,1,13
1,78,Moral Philosophy and Ethical Decision-Making,1,12
1,78,Post-Apocalyptic History and Archaeology,2,9.3
1,78,Post-Apocalyptic History and Archaeology,2,6
1,78,Post-Apocalyptic History and Archaeology,2,9.8
1,78,Post-Apocalyptic History and Archaeology,2,7.8
1,78,Radiation Ecology and Environmental Science,1,8.3
1,78,Radiation Ecology and Environmental Science,1,10.1
1,78,Radiation Ecology and Environmental Science,1,0.8
1,78,Radiation Ecology and Environmental Science,1,1.4
1,78,Renewable Energy and Sustainable Living,1,8.5
1,78,Renewable Energy and Sustainable Living,1,2
1,78,Renewable Energy and Sustainable Living,1,2.5
1,78,Renewable Energy and Sustainable Living,1,5.5
1,78,Renewable Energy and Sustainable Living,1,8.5
1,78,Renewable Energy and Sustainable Living,1,2.5
1,78,Renewable Energy and Sustainable Living,1,1.5
1,78,Scavenging and Resource Management,2,12
1,78,Scavenging and Resource Management,2,4.75
1,78,Scavenging and Resource Management,2,3
1,78,Scavenging and Resource Management,2,12.25
1,78,Scavenging and Resource Management,2,6
1,78,Survival Skills and Wilderness Medicine,2,11.25
1,78,Survival Skills and Wilderness Medicine,2,11.25
1,78,Survival Skills and Wilderness Medicine,2,10.5
1,78,Survival Skills and Wilderness Medicine,2,12
1,78,Survival Skills and Wilderness Medicine,2,11.25
1,89,Art and Expression in a Post-Apocalyptic World,3,9.5
1,89,Art and Expression in a Post-Apocalyptic World,3,8.1
1,89,Art and Expression in a Post-Apocalyptic World,3,5.9
1,89,Art and Expression in a Post-Apocalyptic World,3,10.9
1,89,Art and Expression in a Post-Apocalyptic World,3,11.4
1,89,Art and Expression in a Post-Apocalyptic World,3,7.4
1,89,Art and Expression in a Post-Apocalyptic World,3,13.2
1,89,Combat Tactics and Self-Defense,2,3
1,89,Combat Tactics and Self-Defense,2,4
1,89,Combat Tactics and Self-Defense,2,7
1,89,Combat Tactics and Self-Defense,2,5
1,89,Community Building and Social Organization,1,7.5
1,89,Community Building and Social Organization,1,5.5
1,89,Community Building and Social Organization,1,8
1,89,Community Building and Social Organization,1,7
1,89,Community Building and Social Organization,1,9
1,89,Community Building and Social Organization,1,11
1,89,Community Building and Social Organization,1,9
1,89,Mechanical Engineering and Vehicle Repair,1,10
1,89,Mechanical Engineering and Vehicle Repair,1,9
1,89,Mechanical Engineering and Vehicle Repair,1,11
1,89,Mechanical Engineering and Vehicle Repair,1,8
1,89,Mechanical Engineering and Vehicle Repair,1,9
1,89,Mechanical Engineering and Vehicle Repair,1,8
1,89,Moral Philosophy and Ethical Decision-Making,1,11
1,89,Moral Philosophy and Ethical Decision-Making,1,12
1,89,Moral Philosophy and Ethical Decision-Making,1,14
1,89,Moral Philosophy and Ethical Decision-Making,1,14
1,89,Post-Apocalyptic History and Archaeology,2,10.5
1,89,Post-Apocalyptic History and Archaeology,2,9.1
1,89,Post-Apocalyptic History and Archaeology,2,10.9
1,89,Radiation Ecology and Environmental Science,1,6.5
1,89,Radiation Ecology and Environmental Science,1,10.2
1,89,Radiation Ecology and Environmental Science,1,10.3
1,89,Radiation Ecology and Environmental Science,1,14.2
1,89,Renewable Energy and Sustainable Living,1,8
1,89,Renewable Energy and Sustainable Living,1,6
1,89,Renewable Energy and Sustainable Living,1,6.5
1,89,Renewable Energy and Sustainable Living,1,3
1,89,Renewable Energy and Sustainable Living,1,6
1,89,Renewable Energy and Sustainable Living,1,5
1,89,Renewable Energy and Sustainable Living,1,12.5
1,89,Scavenging and Resource Management,2,8.25
1,89,Scavenging and Resource Management,2,9.75
1,89,Scavenging and Resource Management,2,4.75
1,89,Survival Skills and Wilderness Medicine,2,10.25
1,89,Survival Skills and Wilderness Medicine,2,11.75
1,89,Survival Skills and Wilderness Medicine,2,13.75
1,89,Survival Skills and Wilderness Medicine,2,11.75
1,89,Survival Skills and Wilderness Medicine,2,11.5
1,97,Art and Expression in a Post-Apocalyptic World,3,16.3
1,97,Art and Expression in a Post-Apocalyptic World,3,12.2
1,97,Art and Expression in a Post-Apocalyptic World,3,10.7
1,97,Art and Expression in a Post-Apocalyptic World,3,12.9
1,97,Art and Expression in a Post-Apocalyptic World,3,11.2
1,97,Art and Expression in a Post-Apocalyptic World,3,3.9
1,97,Art and Expression in a Post-Apocalyptic World,3,12.9
1,97,Combat Tactics and Self-Defense,2,11
1,97,Combat Tactics and Self-Defense,2,16
1,97,Combat Tactics and Self-Defense,2,10
1,97,Combat Tactics and Self-Defense,2,14
1,97,Community Building and Social Organization,1,8
1,97,Community Building and Social Organization,1,9
1,97,Community Building and Social Organization,1,11.5
1,97,Community Building and Social Organization,1,8
1,97,Community Building and Social Organization,1,12
1,97,Community Building and Social Organization,1,5
1,97,Community Building and Social Organization,1,9.5
1,97,Mechanical Engineering and Vehicle Repair,1,6
1,97,Mechanical Engineering and Vehicle Repair,1,7
1,97,Mechanical Engineering and Vehicle Repair,1,9
1,97,Mechanical Engineering and Vehicle Repair,1,8
1,97,Mechanical Engineering and Vehicle Repair,1,7
1,97,Mechanical Engineering and Vehicle Repair,1,10
1,97,Moral Philosophy and Ethical Decision-Making,1,15
1,97,Moral Philosophy and Ethical Decision-Making,1,18
1,97,Moral Philosophy and Ethical Decision-Making,1,15
1,97,Moral Philosophy and Ethical Decision-Making,1,10
1,97,Post-Apocalyptic History and Archaeology,2,10.1
1,97,Post-Apocalyptic History and Archaeology,2,8.4
1,97,Post-Apocalyptic History and Archaeology,2,7.2
1,97,Post-Apocalyptic History and Archaeology,2,9.7
1,97,Radiation Ecology and Environmental Science,1,5.3
1,97,Radiation Ecology and Environmental Science,1,9.6
1,97,Radiation Ecology and Environmental Science,1,9.6
1,97,Radiation Ecology and Environmental Science,1,3.7
1,97,Renewable Energy and Sustainable Living,1,6
1,97,Renewable Energy and Sustainable Living,1,7
1,97,Renewable Energy and Sustainable Living,1,8
1,97,Renewable Energy and Sustainable Living,1,0
1,97,Renewable Energy and Sustainable Living,1,4.5
1,97,Renewable Energy and Sustainable Living,1,11.5
1,97,Scavenging and Resource Management,2,0.5
1,97,Scavenging and Resource Management,2,7.5
1,97,Scavenging and Resource Management,2,8.25
1,97,Scavenging and Resource Management,2,11.75
1,97,Scavenging and Resource Management,2,10.5
1,97,Survival Skills and Wilderness Medicine,2,12.25
1,97,Survival Skills and Wilderness Medicine,2,10
1,97,Survival Skills and Wilderness Medicine,2,14.75
1,97,Survival Skills and Wilderness Medicine,2,8
1,97,Survival Skills and Wilderness Medicine,2,12
1,110,Art and Expression in a Post-Apocalyptic World,3,10.4
1,110,Art and Expression in a Post-Apocalyptic World,3,10.7
1,110,Art and Expression in a Post-Apocalyptic World,3,6.9
1,110,Art and Expression in a Post-Apocalyptic World,3,8
1,110,Art and Expression in a Post-Apocalyptic World,3,10.5
1,110,Art and Expression in a Post-Apocalyptic World,3,8.2
1,110,Art and Expression in a Post-Apocalyptic World,3,11.3
1,110,Combat Tactics and Self-Defense,2,10
1,110,Combat Tactics and Self-Defense,2,6
1,110,Combat Tactics and Self-Defense,2,8
1,110,Combat Tactics and Self-Defense,2,4
1,110,Community Building and Social Organization,1,11
1,110,Community Building and Social Organization,1,5.5
1,110,Community Building and Social Organization,1,9.5
1,110,Community Building and Social Organization,1,9.5
1,110,Community Building and Social Organization,1,6.5
1,110,Community Building and Social Organization,1,10
1,110,Community Building and Social Organization,1,6
1,110,Mechanical Engineering and Vehicle Repair,1,8
1,110,Mechanical Engineering and Vehicle Repair,1,7
1,110,Mechanical Engineering and Vehicle Repair,1,13
1,110,Mechanical Engineering and Vehicle Repair,1,3
1,110,Mechanical Engineering and Vehicle Repair,1,5
1,110,Mechanical Engineering and Vehicle Repair,1,10
1,110,Moral Philosophy and Ethical Decision-Making,1,14
1,110,Moral Philosophy and Ethical Decision-Making,1,18
1,110,Moral Philosophy and Ethical Decision-Making,1,14
1,110,Moral Philosophy and Ethical Decision-Making,1,14
1,110,Post-Apocalyptic History and Archaeology,2,9.3
1,110,Post-Apocalyptic History and Archaeology,2,11.3
1,110,Post-Apocalyptic History and Archaeology,2,8.9
1,110,Post-Apocalyptic History and Archaeology,2,9.7
1,110,Radiation Ecology and Environmental Science,1,2.9
1,110,Radiation Ecology and Environmental Science,1,9.5
1,110,Radiation Ecology and Environmental Science,1,6.1
1,110,Radiation Ecology and Environmental Science,1,4
1,110,Renewable Energy and Sustainable Living,1,10
1,110,Renewable Energy and Sustainable Living,1,7.5
1,110,Renewable Energy and Sustainable Living,1,5.5
1,110,Renewable Energy and Sustainable Living,1,8.5
1,110,Renewable Energy and Sustainable Living,1,7
1,110,Renewable Energy and Sustainable Living,1,8.5
1,110,Renewable Energy and Sustainable Living,1,3.5
1,110,Scavenging and Resource Management,2,12.25
1,110,Scavenging and Resource Management,2,5.5
1,110,Scavenging and Resource Management,2,11.5
1,110,Scavenging and Resource Management,2,11
1,110,Scavenging and Resource Management,2,9.5
1,110,Survival Skills and Wilderness Medicine,2,12.25
1,110,Survival Skills and Wilderness Medicine,2,12
1,110,Survival Skills and Wilderness Medicine,2,7.5
1,110,Survival Skills and Wilderness Medicine,2,10
1,110,Survival Skills and Wilderness Medicine,2,10.75
1,119,Art and Expression in a Post-Apocalyptic World,3,10.9
1,119,Art and Expression in a Post-Apocalyptic World,3,8.6
1,119,Art and Expression in a Post-Apocalyptic World,3,8
1,119,Art and Expression in a Post-Apocalyptic World,3,11.9
1,119,Art and Expression in a Post-Apocalyptic World,3,8.5
1,119,Art and Expression in a Post-Apocalyptic World,3,6.5
1,119,Art and Expression in a Post-Apocalyptic World,3,5.8
1,119,Combat Tactics and Self-Defense,2,12
1,119,Combat Tactics and Self-Defense,2,2
1,119,Combat Tactics and Self-Defense,2,9
1,119,Combat Tactics and Self-Defense,2,8
1,119,Community Building and Social Organization,1,9
1,119,Community Building and Social Organization,1,11.5
1,119,Community Building and Social Organization,1,6
1,119,Community Building and Social Organization,1,9.5
1,119,Community Building and Social Organization,1,10
1,119,Community Building and Social Organization,1,7.5
1,119,Community Building and Social Organization,1,13.5
1,119,Mechanical Engineering and Vehicle Repair,1,4
1,119,Mechanical Engineering and Vehicle Repair,1,10
1,119,Mechanical Engineering and Vehicle Repair,1,8
1,119,Mechanical Engineering and Vehicle Repair,1,10
1,119,Mechanical Engineering and Vehicle Repair,1,5
1,119,Mechanical Engineering and Vehicle Repair,1,10
1,119,Moral Philosophy and Ethical Decision-Making,1,15
1,119,Moral Philosophy and Ethical Decision-Making,1,15
1,119,Moral Philosophy and Ethical Decision-Making,1,17
1,119,Moral Philosophy and Ethical Decision-Making,1,12
1,119,Post-Apocalyptic History and Archaeology,2,9.2
1,119,Post-Apocalyptic History and Archaeology,2,9.2
1,119,Post-Apocalyptic History and Archaeology,2,9.6
1,119,Post-Apocalyptic History and Archaeology,2,8.3
1,119,Radiation Ecology and Environmental Science,1,6.1
1,119,Radiation Ecology and Environmental Science,1,2.7
1,119,Radiation Ecology and Environmental Science,1,4.9
1,119,Radiation Ecology and Environmental Science,1,9.1
1,119,Renewable Energy and Sustainable Living,1,5
1,119,Renewable Energy and Sustainable Living,1,6
1,119,Renewable Energy and Sustainable Living,1,14
1,119,Renewable Energy and Sustainable Living,1,8.5
1,119,Renewable Energy and Sustainable Living,1,8.5
1,119,Renewable Energy and Sustainable Living,1,8.5
1,119,Renewable Energy and Sustainable Living,1,5.5
1,119,Scavenging and Resource Management,2,12.25
1,119,Scavenging and Resource Management,2,7.75
1,119,Scavenging and Resource Management,2,6.5
1,119,Scavenging and Resource Management,2,6
1,119,Scavenging and Resource Management,2,8
1,119,Survival Skills and Wilderness Medicine,2,8.5
1,119,Survival Skills and Wilderness Medicine,2,9.5
1,119,Survival Skills and Wilderness Medicine,2,11.25
1,119,Survival Skills and Wilderness Medicine,2,14.75
1,119,Survival Skills and Wilderness Medicine,2,10.75
1,132,Art and Expression in a Post-Apocalyptic World,3,10.1
1,132,Art and Expression in a Post-Apocalyptic World,3,8
1,132,Art and Expression in a Post-Apocalyptic World,3,6.3
1,132,Art and Expression in a Post-Apocalyptic World,3,13.9
1,132,Art and Expression in a Post-Apocalyptic World,3,13.3
1,132,Art and Expression in a Post-Apocalyptic World,3,7.9
1,132,Art and Expression in a Post-Apocalyptic World,3,7.8
1,132,Combat Tactics and Self-Defense,2,5
1,132,Combat Tactics and Self-Defense,2,11
1,132,Combat Tactics and Self-Defense,2,6
1,132,Combat Tactics and Self-Defense,2,5
1,132,Community Building and Social Organization,1,5
1,132,Community Building and Social Organization,1,6
1,132,Community Building and Social Organization,1,7.5
1,132,Community Building and Social Organization,1,11.5
1,132,Community Building and Social Organization,1,8.5
1,132,Community Building and Social Organization,1,7.5
1,132,Community Building and Social Organization,1,9
1,132,Mechanical Engineering and Vehicle Repair,1,8
1,132,Mechanical Engineering and Vehicle Repair,1,6
1,132,Mechanical Engineering and Vehicle Repair,1,7
1,132,Mechanical Engineering and Vehicle Repair,1,10
1,132,Mechanical Engineering and Vehicle Repair,1,6
1,132,Mechanical Engineering and Vehicle Repair,1,8
1,132,Moral Philosophy and Ethical Decision-Making,1,13
1,132,Moral Philosophy and Ethical Decision-Making,1,12
1,132,Moral Philosophy and Ethical Decision-Making,1,10
1,132,Moral Philosophy and Ethical Decision-Making,1,12
1,132,Post-Apocalyptic History and Archaeology,2,9
1,132,Post-Apocalyptic History and Archaeology,2,11
1,132,Post-Apocalyptic History and Archaeology,2,8.5
1,132,Post-Apocalyptic History and Archaeology,2,7.7
1,132,Radiation Ecology and Environmental Science,1,7.2
1,132,Radiation Ecology and Environmental Science,1,5.1
1,132,Radiation Ecology and Environmental Science,1,6.2
1,132,Radiation Ecology and Environmental Science,1,3.7
1,132,Renewable Energy and Sustainable Living,1,5
1,132,Renewable Energy and Sustainable Living,1,6.5
1,132,Renewable Energy and Sustainable Living,1,5
1,132,Renewable Energy and Sustainable Living,1,9.5
1,132,Renewable Energy and Sustainable Living,1,10
1,132,Renewable Energy and Sustainable Living,1,5
1,132,Scavenging and Resource Management,2,6.5
1,132,Scavenging and Resource Management,2,10.5
1,132,Scavenging and Resource Management,2,15.25
1,132,Scavenging and Resource Management,2,15
1,132,Scavenging and Resource Management,2,7
1,132,Survival Skills and Wilderness Medicine,2,8.25
1,132,Survival Skills and Wilderness Medicine,2,11.5
1,132,Survival Skills and Wilderness Medicine,2,11.5
1,132,Survival Skills and Wilderness Medicine,2,9.5
1,132,Survival Skills and Wilderness Medicine,2,10.25
1,184,Art and Expression in a Post-Apocalyptic World,3,6
1,184,Art and Expression in a Post-Apocalyptic World,3,4.3
1,184,Art and Expression in a Post-Apocalyptic World,3,5.5
1,184,Art and Expression in a Post-Apocalyptic World,3,4.5
1,184,Art and Expression in a Post-Apocalyptic World,3,9.2
1,184,Art and Expression in a Post-Apocalyptic World,3,5.2
1,184,Combat Tactics and Self-Defense,2,6
1,184,Combat Tactics and Self-Defense,2,5
1,184,Combat Tactics and Self-Defense,2,8
1,184,Community Building and Social Organization,1,7
1,184,Community Building and Social Organization,1,9
1,184,Community Building and Social Organization,1,13.5
1,184,Community Building and Social Organization,1,10.5
1,184,Community Building and Social Organization,1,9.5
1,184,Community Building and Social Organization,1,6.5
1,184,Community Building and Social Organization,1,7.5
1,184,Mechanical Engineering and Vehicle Repair,1,6
1,184,Mechanical Engineering and Vehicle Repair,1,10
1,184,Mechanical Engineering and Vehicle Repair,1,7
1,184,Mechanical Engineering and Vehicle Repair,1,6
1,184,Mechanical Engineering and Vehicle Repair,1,7
1,184,Mechanical Engineering and Vehicle Repair,1,7
1,184,Moral Philosophy and Ethical Decision-Making,1,15
1,184,Moral Philosophy and Ethical Decision-Making,1,16
1,184,Moral Philosophy and Ethical Decision-Making,1,16
1,184,Moral Philosophy and Ethical Decision-Making,1,12
1,184,Post-Apocalyptic History and Archaeology,2,9.6
1,184,Post-Apocalyptic History and Archaeology,2,8.7
1,184,Post-Apocalyptic History and Archaeology,2,10
1,184,Post-Apocalyptic History and Archaeology,2,7.6
1,184,Radiation Ecology and Environmental Science,1,6.2
1,184,Radiation Ecology and Environmental Science,1,10.9
1,184,Radiation Ecology and Environmental Science,1,8.4
1,184,Radiation Ecology and Environmental Science,1,0
1,184,Renewable Energy and Sustainable Living,1,3.5
1,184,Renewable Energy and Sustainable Living,1,7.5
1,184,Renewable Energy and Sustainable Living,1,3.5
1,184,Renewable Energy and Sustainable Living,1,7
1,184,Renewable Energy and Sustainable Living,1,6
1,184,Renewable Energy and Sustainable Living,1,3.5
1,184,Renewable Energy and Sustainable Living,1,4.5
1,184,Scavenging and Resource Management,2,8.25
1,184,Scavenging and Resource Management,2,11.75
1,184,Scavenging and Resource Management,2,7.25
1,184,Scavenging and Resource Management,2,9
1,184,Survival Skills and Wilderness Medicine,2,11.25
1,184,Survival Skills and Wilderness Medicine,2,9.25
1,184,Survival Skills and Wilderness Medicine,2,10.25
1,184,Survival Skills and Wilderness Medicine,2,12.75
1,184,Survival Skills and Wilderness Medicine,2,12.5
1,280,Art and Expression in a Post-Apocalyptic World,3,9.1
1,280,Art and Expression in a Post-Apocalyptic World,3,8.7
1,280,Art and Expression in a Post-Apocalyptic World,3,11.8
1,280,Art and Expression in a Post-Apocalyptic World,3,9.1
1,280,Art and Expression in a Post-Apocalyptic World,3,8.2
1,280,Art and Expression in a Post-Apocalyptic World,3,0.8
1,280,Combat Tactics and Self-Defense,2,5
1,280,Combat Tactics and Self-Defense,2,4
1,280,Combat Tactics and Self-Defense,2,7
1,280,Combat Tactics and Self-Defense,2,6
1,280,Community Building and Social Organization,1,4
1,280,Community Building and Social Organization,1,10
1,280,Community Building and Social Organization,1,4.5
1,280,Community Building and Social Organization,1,9.5
1,280,Community Building and Social Organization,1,5.5
1,280,Community Building and Social Organization,1,9
1,280,Mechanical Engineering and Vehicle Repair,1,8
1,280,Mechanical Engineering and Vehicle Repair,1,8
1,280,Mechanical Engineering and Vehicle Repair,1,7
1,280,Mechanical Engineering and Vehicle Repair,1,7
1,280,Mechanical Engineering and Vehicle Repair,1,6
1,280,Mechanical Engineering and Vehicle Repair,1,9
1,280,Moral Philosophy and Ethical Decision-Making,1,14
1,280,Moral Philosophy and Ethical Decision-Making,1,11
1,280,Moral Philosophy and Ethical Decision-Making,1,12
1,280,Moral Philosophy and Ethical Decision-Making,1,13
1,280,Post-Apocalyptic History and Archaeology,2,10.6
1,280,Post-Apocalyptic History and Archaeology,2,8.9
1,280,Post-Apocalyptic History and Archaeology,2,8.3
1,280,Post-Apocalyptic History and Archaeology,2,9.7
1,280,Radiation Ecology and Environmental Science,1,6.2
